Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X]
16:00;Erzurum BB vs Boluspor;Turkey 2;1.25 (1);85.0;0.0;15.0
19:00;Amed SK vs Umraniyespor;Turkey 2;1.27 (1);85.0;5.0;10.0
20:00;Manchester City Academy vs Norwich City U21;England Reserve 1;1.16 (1);85.0;5.0;10.0
18:00;Vukovar 91 vs Dinamo Zagrzeb;Croatia 1;1.18 (2);10.0;80.0;10.0
18:00;Beroe vs Łokomotiw Płowdiw;Bulgaria 1;2.2 (2);10.0;80.0;10.0
23:00;Union Magdalena vs Internacional Palmira;Colombia 2;4.2 (2);80.0;5.0;15.0
18:30;Al Arabi vs Al-Sailiya;Qatar 1;1.55 (1);80.0;10.0;10.0
20:00;Crystal Palace Academy vs Arsenal Academy;England Reserve 1;2.1 (1);65.0;15.0;20.0
19:00;Sakaryaspor vs Erokspor;Turkey 2;1.45 (2);10.0;65.0;25.0
16:00;Internacional Podgorica vs Kom;Montenegro 2;1.57 (2);10.0;65.0;25.0
jutro 01:00;Club Atletico Penarol vs Liverpool FC;Uruguay 1;1.57 (1);65.0;10.0;25.0
jutro 00:00;Lanus vs Banfield;Argentina 1;1.85 (1);60.0;15.0;25.0
20:00;Jong Ajax vs FC Oss;Netherlands 2;2.1 (1);60.0;15.0;25.0
15:30;FK Struga vs GFK Tikves Kavadarci;F.Y.R.O.M. 1;4.2 (2);60.0;25.0;15.0
16:15;Al-Shamal vs Qatar SC;Qatar 1;1.8 (1);60.0;15.0;25.0
20:45;Caersws vs Buckley Town;Wales 2;1.95 (1);55.0;5.0;40.0
20:00;Jong FC Utrecht vs Vitesse;Netherlands 2;2.37 (2);55.0;10.0;35.0
jutro 01:05;Patriotas vs Real Cartagena;Colombia 2;2.9 (2);55.0;30.0;15.0
12:00;Cherkasi vs Szachtar Donieck;Ukraine 1;1.7 (2);30.0;55.0;15.0
21:00;Manchester United vs Leeds United;England 1;1.55 (1);55.0;25.0;20.0
22:00;Bogota FC vs Orsomarso;Colombia 2;3.75 (2);55.0;15.0;30.0
18:30;Fortune vs Dutch Lions;Gambia 1;1.8 (1);55.0;5.0;40.0
20:30;Dolomiti Bellunesi vs Pro Patria;Italy 3;1.72 (1);55.0;15.0;30.0
16:00;Bylis vs Dinamo Tirana;Albania 1;3.5 (1);10.0;50.0;40.0
19:00;Piast Gliwice vs Pogoń Szczecin;Poland 1;2.15 (1);50.0;30.0;20.0
20:00;Leeds United U21 vs Leicester City Academy;England Reserve 1;2.0 (2);25.0;50.0;25.0
20:30;Benevento vs Cavese;Italy 3;1.57 (1);50.0;15.0;35.0
20:30;Valladolid vs Eibar;Spain 2;3.2 (2);50.0;20.0;30.0
19:00;AF Elbasani vs Partizani;Albania 1;1.9 (1);50.0;20.0;30.0
19:00;Eyüpspor vs Samsunspor;Turkey 1;1.85 (2);20.0;50.0;30.0
15:00;Sivasspor vs İstanbulspor;Turkey 2;1.7 (1);50.0;30.0;20.0
20:30;Renate vs Pro Vercelli;Italy 3;2.1 (1);50.0;35.0;15.0
16:00;Etoile Metlaoui vs Marsa;Tunisia 1;2.4 (1);45.0;25.0;30.0
20:00;Reading U21 vs Derby County U21;England Reserve 1;3.5 (2);45.0;35.0;20.0
17:30;OTR vs Unisport;Togo 1;3.0 (2);45.0;30.0;25.0
18:00;Esperança dAndorra vs Penya Encarnada d'Andorra;Andorra 1;4.0 (1);20.0;45.0;35.0
19:00;Lusitania FC Lourosa vs FC Porto B;Portugal 2;2.2 (1);45.0;40.0;15.0
20:30;Crotone vs Catania;Italy 3;2.5 (1);30.0;45.0;25.0
21:30;Sarmiento vs Gimnasia LP;Argentina 1;2.45 (1);45.0;30.0;25.0
20:00;Varda SE vs Debreceni VSC;Hungary 1;2.8 (1);40.0;45.0;15.0
20:00;Jong AZ Alkmaar vs Jong PSV;Netherlands 2;1.85 (1);45.0;25.0;30.0
20:00;Newcastle United U21 vs Wolverhampton Wanderers Academy;England Reserve 1;2.55 (2);35.0;40.0;25.0
19:00;Rizespor vs Gaziantep BB;Turkey 1;1.72 (1);40.0;30.0;30.0
11:45;Etar vs Dunav Ruse;Bulgaria 2;3.1 (1);40.0;35.0;25.0
20:30;AZ Picerno ASD vs Cosenza;Italy 3;2.8 (1);35.0;40.0;25.0
18:00;Łódzki KS vs Pogon Grodzisk Mazowiecki;Poland 2;1.75 (1);40.0;30.0;30.0
20:45;Fiorentina vs Lazio Rzym;European Championship U-21 1;3.4 (2);40.0;25.0;35.0
15:00;Liteks Łowecz vs Lewski Sofia;Bulgaria 1;2.7 (1);20.0;40.0;40.0
21:30;Defensa y Justicia vs Talleres;Argentina 1;2.9 (1);15.0;35.0;50.0
20:45;Rodez vs Troyes;France 2;3.2 (1);30.0;25.0;45.0
21:00;Levante vs Getafe;Spain 1;2.87 (2);20.0;25.0;55.0
21:15;Tondela vs Gil Vicente;Portugal 1;4.1 (1);20.0;25.0;55.0
