Rodzaj;Data;Gospodarz;Gosc;Kurs_1;Kurs_X;Kurs_2;Match_ID;URL;home_form_overall;away_form_overall;home_form_home;away_form_away;home_form_h2h;away_form_h2h;home_form_overall_W;home_form_overall_R;home_form_overall_P;away_form_overall_W;away_form_overall_R;away_form_overall_P;home_form_home_W;home_form_home_R;home_form_home_P;away_form_away_W;away_form_away_R;away_form_away_P;home_form_h2h_W;home_form_h2h_R;home_form_h2h_P;away_form_h2h_W;away_form_h2h_R;away_form_h2h_P
HISZPANIA:: LaLiga;09.03.2026 21:00;Espanyol;Oviedo;1,92;3,30;4,40;M_1_Espanyol_vs_Oviedo;https://www.flashscore.pl/mecz/pilka-nozna/espanyol-QFfPdh1J/oviedo-SzYzw34K/?mid=A90Ay4iL;RPRPPP;PPRPWP;RPPPWW;PRPPRP;WWPWP;PPWPW;0;2;4;1;1;4;2;1;3;0;2;4;3;0;2;2;0;3
POLSKA:: PKO BP Ekstraklasa;09.03.2026 19:00;Wisła Płock;Arka Gdynia;2,00;3,35;4,10;M_2_Wis_a_P_ock_vs_Arka_Gdynia;https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/wisla-plock-QoZYVU3E/?mid=WITqnYGk;PPPPWR;PRWPRW;PWRRWW;PPPPPP;PWPPP;WPWWW;1;1;4;2;2;2;3;2;1;0;0;6;1;0;4;4;0;1
POLSKA:: Betclic 1. Liga;09.03.2026 18:00;Polonia Warszawa;ŁKS Łódź;2,10;3,40;3,40;M_3_Polonia_Warszawa_vs_KS___d;https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/polonia-warszawa-ADZjR3us/?mid=x02PgelI;WWRWRW;RWPWRR;RWWWWP;WWRWPW;RPR;RWR;4;2;0;2;3;1;4;1;1;4;1;1;0;2;1;1;2;0
WŁOCHY:: Serie A;09.03.2026 20:45;Lazio;Sassuolo;2,20;3,20;3,50;M_4_Lazio_vs_Sassuolo;https://www.flashscore.pl/mecz/pilka-nozna/lazio-URcSl02h/sassuolo-QDdvI0zl/?mid=hlhSsZxn;PRPRWR;WWWPWW;PWPRPR;WWPPRR;PRWWW;WRPPP;1;3;2;5;0;1;1;2;3;2;2;2;3;1;1;1;1;3
