Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X]
21:00;Burnley vs Manchester City;England 1;1.12 (2);5.0;90.0;5.0
17:30;BFC Preussen vs Hertha Zehlendorf;Germany 4;1.61 (1);80.0;15.0;5.0
jutro 01:20;Independiente Medellin vs Chico FC;Colombia 1;1.28 (1);80.0;10.0;10.0
20:15;NK Istra 1961 vs Dinamo Zagrzeb;Croatia 1;1.25 (2);0.0;75.0;25.0
21:30;FC Barcelona vs Celta Vigo;Spain 1;1.22 (1);75.0;10.0;15.0
19:30;Mamelodi Sundowns FC vs Vasco da Gama;South Africa 1;1.3 (1);70.0;25.0;5.0
19:00;PSG vs Nantes;France 1;1.18 (1);70.0;15.0;15.0
20:45;Charlton Athletic vs Ipswich Town;England 2;1.75 (2);20.0;70.0;10.0
19:00;1. FC Phoenix Luebeck vs St.Pauli II;Germany 4;1.36 (1);70.0;5.0;25.0
20:45;Cardiff City vs Port Vale;England 3;1.2 (1);70.0;5.0;25.0
jutro 01:00;Real Garcilaso vs FC Cajamarca;Peru 1;1.33 (1);70.0;10.0;20.0
20:45;Middlesbrough vs Sheffield Wednesday;England 2;1.18 (1);70.0;10.0;20.0
19:00;Schoeningen vs Oldenburg;Germany 4;1.3 (2);15.0;65.0;20.0
04:00;C.S. Cartagines vs Deportiva San Carlos;Costa Rica 1;1.57 (1);65.0;0.0;35.0
03:00;Pumas vs FC Juarez;Mexico 1;1.83 (1);55.0;5.0;40.0
16:00;CSKA Sofia II vs Hebar;Bulgaria 2;1.7 (1);55.0;20.0;25.0
19:00;SSV Jeddeloh vs Luebeck;Germany 4;4.5 (2);50.0;35.0;15.0
20:00;Telstar vs Sparta Rotterdam;Eredivisie;2.5 (1);35.0;45.0;20.0
jutro 01:30;Toronto FC vs Philadelphia Union;USA 1;2.35 (1);45.0;20.0;35.0
jutro 01:00;Barcelona SC vs Mushuc Runa;Ecuador 1;1.6 (1);45.0;25.0;30.0
10:30;Persis Solo vs Bhayangkara Surabaya United;Indonesia 1;2.87 (2);45.0;30.0;25.0
21:00;AFC Bournemouth vs Leeds United;England 1;2.0 (1);45.0;40.0;15.0
22:30;Deportivo Cuenca vs Orense;Ecuador 1;1.9 (1);45.0;10.0;45.0
15:30;Vukovar 91 vs HNK Gorica;Croatia 1;2.3 (2);35.0;40.0;25.0
17:45;NK Varaždin vs Rijeka;Croatia 1;2.9 (1);30.0;35.0;35.0
19:30;SC Wiedenbrueck vs Sportfreunde Siegen;Germany 4;1.8 (2);25.0;30.0;45.0
02:00;Sporting San Jose vs AD Municipal Liberia;Costa Rica 1;3.75 (2);30.0;20.0;50.0
