Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X]
18 kwi;York City vs Yeovil Town;England 5;1.11 (1);95.0;0.0;5.0
18 kwi;Dinamo Zagrzeb vs Rijeka;Croatia 1;1.33 (1);85.0;10.0;5.0
18 kwi;NK Maribor vs Primorje;Slovenia 1;1.33 (1);85.0;10.0;5.0
18 kwi;East Kilbride vs Edinburgh City;Scotland 4;1.14 (1);85.0;5.0;10.0
18 kwi;Aguilas vs Taguig;Philippines 1;1.44 (2);5.0;80.0;15.0
18 kwi;Ascoli Picchio FC 1898 vs Monterosi;Italy 3;1.28 (1);80.0;5.0;15.0
18 kwi;FC Schweinfurt vs Hansa Rostock;Germany 3;1.36 (2);10.0;80.0;10.0
18 kwi;PSBS Biak Numfor vs Persija Jakarta;Indonesia 1;1.09 (2);15.0;80.0;5.0
18 kwi;Borac Banja Luka vs FK Velez Mostar;Bosnia-Herzegovina 1;1.33 (1);75.0;20.0;5.0
18 kwi;Meppen vs ETSV Weiche Flensburg;Germany 4;1.2 (1);75.0;5.0;20.0
18 kwi;Harborough Town vs Bishop's Stortford;England 7;1.33 (1);75.0;10.0;15.0
18 kwi;Liptovsky Mikulas vs Zilina B;Slovakia 2;1.66 (1);75.0;10.0;15.0
18 kwi;Freiberg vs TSV Steinbach;Germany 4;1.53 (1);75.0;10.0;15.0
18 kwi;S.S. Murata vs FC Fiorentino;San Marino 1;1.3 (2);10.0;75.0;15.0
18 kwi;Hoogstraten vs Ninove;Belgium 3;1.48 (1);75.0;5.0;20.0
18 kwi;Pelister vs Makedonija GjP;F.Y.R.O.M. 1;1.66 (1);70.0;10.0;20.0
18 kwi;Chichester City FC vs Dartford;England 7;1.55 (2);5.0;70.0;25.0
18 kwi;Billericay vs Whitehawk;England 7;1.36 (1);70.0;15.0;15.0
18 kwi;Lille vs Nice;France 1;1.53 (1);70.0;5.0;25.0
18 kwi;Sitra vs Al Khalidiyah;Bahrain 1;1.4 (2);15.0;70.0;15.0
18 kwi;Zalaegerszeg vs Kazincbarcikai BSC;Hungary 1;1.42 (1);65.0;10.0;25.0
18 kwi;TSG Balingen vs Mainz 05 II;Germany 4;1.61 (2);15.0;60.0;25.0
18 kwi;Sesvete vs NK Croatia Zmijavci;Croatia 2;1.85 (1);60.0;15.0;25.0
18 kwi;Mendrisio vs Widnau;Switzerland 4;1.72 (1);60.0;15.0;25.0
18 kwi;All Boys vs Acassuso;Argentina 2;1.66 (1);55.0;15.0;30.0
18 kwi;Bamber Bridge vs Hebburn Town;England 7;1.8 (2);25.0;55.0;20.0
18 kwi;Ingolstadt vs Osnabrueck;Germany 3;1.95 (2);20.0;55.0;25.0
18 kwi;Braintree Town vs Rochdale;England 5;1.25 (2);20.0;55.0;25.0
18 kwi;Mornar vs Decic Tuzi;Montenegro 1;1.7 (1);55.0;20.0;25.0
18 kwi;Leyton Orient vs Rotherham United;England 3;1.6 (1);50.0;35.0;15.0
18 kwi;Real Cartagena vs Barranquilla FC;Colombia 2;1.42 (1);50.0;10.0;40.0
18 kwi;Pribram vs Sparta Prague B;Czech Republic 2;1.7 (1);50.0;15.0;35.0
18 kwi;Povazska Bystrica vs LokomotÃ­va Zvolen;Slovakia 2;3.5 (2);50.0;20.0;30.0
18 kwi;Duhok vs Al Quwa Al Jawiya;Iraq 1;1.83 (2);20.0;45.0;35.0
18 kwi;Real Santander vs Bogota FC;Colombia 2;2.55 (2);45.0;25.0;30.0
18 kwi;Curzon vs Buxton;England 6;1.85 (2);30.0;45.0;25.0
18 kwi;Peterhead vs Queen of South;Scotland 3;1.9 (2);45.0;35.0;20.0
18 kwi;Tranmere Rovers vs Bristol Rovers;England 4;2.45 (2);35.0;40.0;25.0
18 kwi;AFC Wimbledon vs Plymouth Argyle;England 3;1.8 (2);30.0;40.0;30.0
18 kwi;Tottenham Hotspur vs Brighton & Hove Albion;England 1;2.3 (2);25.0;40.0;35.0
18 kwi;Plymouth Parkway vs Hanwell Town;England 7;2.05 (1);40.0;15.0;45.0
19 kwi;San Martin Burzaco vs Flandria;Argentina 3;2.2 (1);40.0;30.0;30.0
18 kwi;Duisburg vs Hoffenheim II;Germany 3;1.8 (1);35.0;20.0;45.0
18 kwi;Barwell FC vs Bury Town;England 7;1.8 (2);35.0;20.0;45.0
18 kwi;Al Gharraf vs Al Talaba;Iraq 1;1.9 (2);25.0;35.0;40.0
18 kwi;Milano United FC vs Siwelele;South Africa 1;2.45 (2);35.0;25.0;40.0
18 kwi;Lausanne II vs Basel II;Switzerland 3;1.9 (2);15.0;30.0;55.0
18 kwi;Newcastle United vs AFC Bournemouth;England 1;3.25 (2);30.0;30.0;40.0
18 kwi;Falcons vs TMT;Gambia 1;2.1 (1);30.0;30.0;40.0
18 kwi;GKS Tychy vs Łódzki KS;Poland 2;2.1 (2);20.0;30.0;50.0
18 kwi;PSM Makassar vs Pusamania Borneo;Indonesia 1;2.1 (2);30.0;30.0;40.0
18 kwi;SC Bastia vs Saint-Etienne;France 2;2.0 (2);30.0;30.0;40.0
