Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X]
14:00;FC Barcelona vs Rayo Vallecano;Spain 1;1.25 (1);95.0;0.0;5.0
17:30;NK Celje vs Primorje;Slovenia 1;1.33 (1);95.0;0.0;5.0
11:30;Hatayspor vs Amed SK;Turkey 2;1.08 (2);5.0;90.0;5.0
13:00;Buriram United vs Muang Thong United;Thailand 1;1.18 (1);90.0;5.0;5.0
18:30;Club Brugge vs KV Mechelen;Belgium 1;1.28 (1);80.0;5.0;15.0
17:15;Rennes vs Metz;France 1;1.33 (1);80.0;5.0;15.0
jutro 00:00;CD FAS vs Fuerte San Francisco;El Salvador 1;1.28 (1);80.0;0.0;20.0
16:45;Kazincbarcikai BSC vs Gyori ETO;Hungary 1;1.4 (2);5.0;75.0;20.0
19:00;Inter Club d'Escaldes vs Esperança dAndorra;Andorra 1;1.08 (1);75.0;15.0;10.0
14:00;Rayon Sports vs Gasogi United;Rwanda 1;1.53 (1);70.0;10.0;20.0
14:30;TS Galaxy vs Orlando Pirates;South Africa 1;1.5 (2);15.0;70.0;15.0
15:00;Atalanta vs Hellas Werona;European Championship U-21 1;1.38 (1);70.0;5.0;25.0
12:30;Como vs Pisa;European Championship U-21 1;1.25 (1);65.0;10.0;25.0
12:30;Cavese vs Foggia;Italy 3;1.61 (1);60.0;25.0;15.0
18:00;Aris Thessaloniki FC vs OFI Kreta;Greece 1;1.6 (1);55.0;35.0;10.0
18:00;Asteras Tripolis vs Panathinaikos Ateny;Greece 1;1.7 (2);10.0;55.0;35.0
14:30;Puskas FC Academy vs Debreceni VSC;Hungary 1;3.2 (2);55.0;30.0;15.0
13:00;Hamburger SV II vs Altonaer FC 93;Germany 4;1.55 (1);55.0;5.0;40.0
14:30;Cosenza vs Latina;Italy 3;1.7 (1);50.0;15.0;35.0
17:30;St. Pauli vs Freiburg;Germany 1;2.7 (1);30.0;50.0;20.0
16:30;Estoril vs Rio Ave;Portugal 1;1.75 (1);50.0;15.0;35.0
13:30;Hoffenheim II vs Osnabrueck;Germany 3;2.1 (2);30.0;45.0;25.0
14:00;HSC Hannover vs Bremer SV;Germany 4;1.9 (2);20.0;45.0;35.0
14:00;Burgos CF vs Cordoba;Spain 2;2.3 (1);45.0;30.0;25.0
15:00;Burreli vs Pogradeci;Albania 2;1.57 (2);15.0;45.0;40.0
13:30;VfL Bochum vs Holstein Kiel;Germany 2;2.05 (1);45.0;35.0;20.0
18:00;Levadiakos vs Atromitos;Greece 1;3.6 (2);45.0;15.0;40.0
14:30;Sorrento vs Crotone;Italy 3;1.8 (2);30.0;45.0;25.0
17:30;ArzignanoChiampo vs Cittadella;Italy 3;2.4 (2);30.0;45.0;25.0
15:00;Feirense vs Sporting CP B;Portugal 2;2.35 (1);40.0;35.0;25.0
18:00;AS Roma vs Lecce;European Championship U-21 1;1.48 (1);40.0;15.0;45.0
20:45;Nantes vs Strasbourg;France 1;2.0 (2);15.0;35.0;50.0
08:00;Southern District RSA vs North District;Hong Kong 1;1.9 (2);35.0;30.0;35.0
14:30;Siwelele vs Orbit College;South Africa 1;1.8 (1);35.0;30.0;35.0
15:00;Besa Kavajë vs Skenderbeu;Albania 2;1.85 (2);30.0;35.0;35.0
17:00;Zagłębie Sosnowiec vs Warta Poznań;Poland 3;2.1 (2);30.0;30.0;40.0
