Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X]
18:00;Admira Moedling vs Rapid Wien (A);Austria 2;1.3 (1);95.0;0.0;5.0
19:00;Parndorf vs Retz;Austria 3;1.18 (1);85.0;0.0;15.0
20:30;Trento vs Triestina;Italy 3;1.42 (1);85.0;15.0;0.0
18:00;FC Zlate Moravce vs Slovan Bratislava B;Slovakia 2;1.28 (1);85.0;5.0;10.0
20:00;Reading U21 vs Manchester United Academy;England Reserve 1;1.65 (2);15.0;80.0;5.0
17:30;Aluminij vs NK Maribor;Slovenia 1;1.42 (2);10.0;75.0;15.0
20:00;Birmingham City U21 vs Manchester City Academy;England Reserve 1;1.1 (2);10.0;75.0;15.0
18:30;Wuerzburger Kickers vs Viktoria Aschaffenburg;Germany 4;1.22 (1);75.0;10.0;15.0
19:00;FC Roskilde vs FC Helsingoer;Denmark 3;1.33 (1);75.0;10.0;15.0
12:00;FC Kapaz vs FK Karabach;Azerbaijan 1;1.33 (2);15.0;70.0;15.0
20:00;Amiens vs Le Mans;France 2;2.0 (2);20.0;70.0;10.0
20:00;Wolverhampton Wanderers Academy vs Chelsea Academy;England Reserve 1;1.4 (2);20.0;70.0;10.0
16:00;BKMA vs FC Banants;Armenia 1;1.53 (2);15.0;70.0;15.0
17:00;Dukla Bańska Bystrzyca vs OFK Malzenice;Slovakia 2;1.2 (1);70.0;5.0;25.0
01:00;CSD Comunicaciones vs Antigua Guatemala;Guatemala 1;1.85 (1);70.0;15.0;15.0
20:00;Southampton U21 vs Leeds United U21;England Reserve 1;1.5 (1);70.0;5.0;25.0
20:30;Bra vs Arezzo;Italy 3;1.4 (2);15.0;70.0;15.0
19:00;Unterhaching vs VfB Eichstatt;Germany 4;1.55 (1);70.0;20.0;10.0
20:45;RC Lens vs Angers;France 1;1.27 (1);70.0;5.0;25.0
19:00;Sonnenhof Großaspach vs TSV Steinbach;Germany 4;1.5 (1);70.0;25.0;5.0
13:00;Songkhla vs Bangkok;Thailand 2;1.72 (1);65.0;15.0;20.0
02:00;Zacatecoluca vs Firpo;El Salvador 1;1.53 (2);15.0;65.0;20.0
20:00;Pau vs Montpellier;France 2;2.55 (2);65.0;15.0;20.0
18:30;Cagliari vs SSC Napoli;European Championship U-21 1;1.65 (2);20.0;60.0;20.0
20:45;Denbigh Town vs Airbus UK Broughton;Wales 2;1.3 (2);15.0;60.0;25.0
20:00;Cambuur vs Jong AZ Alkmaar;Netherlands 2;1.55 (1);60.0;20.0;20.0
16:00;NK Krka vs ND Beltinci;Slovenia 2;1.61 (2);20.0;55.0;25.0
19:30;Aubagne vs Sochaux;France 3;2.05 (2);20.0;55.0;25.0
20:45;Newtown vs Buckley Town;Wales 2;1.6 (1);55.0;20.0;25.0
17:30;Lamboi vs Kallon;Sierra Leone 1;1.9 (2);10.0;55.0;35.0
20:00;Jong FC Utrecht vs FC Dordrecht;Netherlands 2;2.55 (2);55.0;25.0;20.0
19:30;Stade Nyonnais vs FC Rapperswil-Jona;Switzerland 2;2.2 (1);15.0;55.0;30.0
19:00;RW Erfurt vs Hertha Berlin II;Germany 4;1.7 (1);55.0;20.0;25.0
02:30;Independiente Medellin vs Atletico Junior;Colombia 1;4.5 (2);55.0;15.0;30.0
19:30;Villefranche Beaujolais vs Le Puy;France 3;2.0 (2);15.0;55.0;30.0
20:30;Ternana Unicusano vs Sambenedettese;Italy 3;1.61 (1);55.0;25.0;20.0
14:30;Free State Stars vs Kruger United;South Africa 2;4.5 (2);55.0;35.0;10.0
15:30;ND Slovan Ljubljana vs ND Triglav;Slovenia 2;1.5 (2);15.0;55.0;30.0
17:00;RCK vs Réal du Faso;Burkina Faso 1;2.4 (1);35.0;50.0;15.0
20:00;Olympic Charleroi vs Genk U23;Belgium 2;2.55 (2);35.0;50.0;15.0
19:30;Concarneau vs Valenciennes;France 3;3.0 (2);50.0;25.0;25.0
14:30;Rabotnicki Skopje vs FK Sileks;F.Y.R.O.M. 1;1.8 (2);50.0;35.0;15.0
20:30;Arenteiro vs Celta Vigo B;Spain 3;2.87 (2);50.0;20.0;30.0
18:00;FC Liefering vs WSPG Wels;Austria 2;1.75 (1);50.0;35.0;15.0
19:00;Hallescher FC vs FSV Zwickau;Germany 4;1.66 (1);50.0;35.0;15.0
19:00;Kalsdorf vs Deutschlandsberger SC;Austria 3;2.0 (1);50.0;20.0;30.0
17:00;SK Prostejov vs Brno;Czech Republic 2;1.48 (2);30.0;45.0;25.0
20:30;Virtus Verona vs AlbinoLeffe;Italy 3;2.3 (2);25.0;45.0;30.0
21:00;Preston North End vs Stoke City;England 2;2.75 (2);45.0;25.0;30.0
18:00;Karlovac 1919 vs Hrvace;Croatia 2;1.75 (1);45.0;25.0;30.0
20:00;Jong PSV vs Vitesse;Netherlands 2;2.2 (2);45.0;45.0;10.0
20:45;Genoa vs Udinese;European Championship U-21 1;2.15 (1);45.0;25.0;30.0
20:00;Rodez vs SC Bastia;France 2;2.5 (1);45.0;35.0;20.0
18:00;SK Austria Klagenfurt vs Vienna FC;Austria 2;2.3 (2);20.0;45.0;35.0
18:30;Hannover 96 vs Eintracht Brunszwik;Germany 2;1.53 (1);45.0;20.0;35.0
19:30;Bellinzona vs FC Stade Lausanne-Ouchy;Switzerland 2;1.8 (2);35.0;45.0;20.0
16:00;Kabuscorp vs Redonda FC;Angola 1;1.66 (1);45.0;25.0;30.0
19:30;Gobelins F.C vs Rouen;France 3;1.9 (2);20.0;40.0;40.0
20:30;Górnik Łęczna vs Pogon Grodzisk Mazowiecki;Poland 2;2.5 (2);40.0;35.0;25.0
03:00;Club Xelaju vs CSD Municipal;Guatemala 1;2.9 (1);10.0;40.0;50.0
21:15;Real Betis II vs Hercules;Spain 3;2.25 (2);40.0;40.0;20.0
19:00;Union Mauer vs Krems / Rehberg;Austria 3;2.0 (2);25.0;40.0;35.0
09:35;Western Sydney Wanderers FC vs Adelaide United;Australia 1;3.6 (2);40.0;30.0;30.0
20:45;Ruthin Town vs Gresford Athletic;Wales 2;2.4 (2);40.0;25.0;35.0
20:00;MTK Budapeszt vs Paksi SE;Hungary 1;2.9 (1);35.0;40.0;25.0
15:30;Sesvete vs HNK Orijent 1919;Croatia 2;2.3 (1);30.0;35.0;35.0
18:00;Pribram vs Slavia Prague B;Czech Republic 2;2.55 (1);25.0;35.0;40.0
20:00;Nottingham Forest U21 vs Newcastle United U21;England Reserve 1;2.8 (2);35.0;30.0;35.0
